,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?
1054,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Neutral,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,33.0,male,Supervisor/Team Lead,Never
1055,0,1-5,1.0,Not eligible for coverage / N/A,unknown,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,0,Not applicable to me,Not applicable to me,37.0,female,DevOps/SysAdmin,Always
1056,0,100-500,1.0,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,1,Some did,"No, I only became aware later",None did,None did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Rarely,Often,25.0,male,DevOps/SysAdmin,Sometimes
1057,0,More than 1000,1.0,Not eligible for coverage / N/A,unknown,Yes,Yes,I don't know,Somewhat difficult,Yes,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Never,Often,27.0,male,Front-end Developer,Sometimes
1058,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,unknown,Yes,Yes,Yes,Yes,1,Sometimes,Often,27.0,male,Back-end Developer,Sometimes
1059,0,More than 1000,0.0,Yes,No,No,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,unknown,No,Yes,Yes,Yes,1,Sometimes,Often,27.0,male,DevOps/SysAdmin,Never
1060,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,None did,Some of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,Maybe,No,0,Not applicable to me,Sometimes,35.0,male,One-person shop,Sometimes
1061,0,6-25,1.0,No,unknown,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Maybe,Maybe,Somewhat open,unknown,No,Yes,Maybe,No,0,Sometimes,Often,24.0,male,Front-end Developer,Never
1062,0,100-500,1.0,Not eligible for coverage / N/A,unknown,Yes,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always","Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,31.0,non-binary,Back-end Developer,Never
1063,0,26-100,1.0,I don't know,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,No,No,Maybe,Maybe,No,0,Sometimes,Sometimes,31.0,male,Front-end Developer,Sometimes
1064,0,More than 1000,1.0,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,No,No,No,1,Sometimes,Sometimes,32.0,male,Other,Sometimes
1065,0,More than 1000,1.0,No,No,Yes,No,I don't know,Very easy,Maybe,No,No,Maybe,Yes,No,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, they do",Somewhat open,No,No,Yes,Yes,Yes,1,Rarely,Often,33.0,male,Back-end Developer,Sometimes
1066,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Often,Often,33.0,male,One-person shop,Sometimes
1067,0,More than 1000,1.0,Yes,I am not sure,No,I don't know,No,Somewhat difficult,Yes,Yes,Maybe,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,Yes,Maybe,No,1,Sometimes,Often,43.0,male,Other,Sometimes
1068,0,More than 1000,1.0,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,49.0,male,Back-end Developer,Sometimes
1069,0,26-100,1.0,No,unknown,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,Yes,Yes,"Yes, I think it would",Maybe,Neutral,"Yes, I observed",No,Maybe,No,No,1,Sometimes,Sometimes,35.0,male,DevOps/SysAdmin,Sometimes
1070,0,More than 1000,1.0,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Yes,Yes,No,No,No,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,No,No,Yes,No,Yes,1,Sometimes,Often,53.0,male,Front-end Developer,Sometimes
1071,0,100-500,1.0,I don't know,I am not sure,I don't know,I don't know,No,I don't know,No,No,No,Maybe,Yes,No,1,Some did,I was aware of some,I don't know,Some did,No,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,45.0,male,Back-end Developer,Never
1072,0,100-500,1.0,Yes,No,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,I don't know,No,Maybe,No,1,Never,Sometimes,40.0,male,Support,Sometimes
1073,0,More than 1000,0.0,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,I don't know,Yes,Maybe,No,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,No,No,1,Sometimes,Often,52.0,male,Back-end Developer,Sometimes
1074,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,None of them,Some of them,Some of my previous employers,I don't know,Some did,None of them,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Sometimes,Often,30.0,male,One-person shop,Always
1075,0,More than 1000,1.0,Yes,Yes,No,No,Yes,I don't know,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,Maybe,"No, I don't think they would",Neutral,No,No,Yes,No,Yes,0,Never,Sometimes,41.0,male,Back-end Developer,Always
1076,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Sometimes,Not applicable to me,31.0,male,Front-end Developer,Always
1077,0,100-500,1.0,Not eligible for coverage / N/A,unknown,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,No,Maybe,No,1,Not applicable to me,Not applicable to me,31.0,male,Supervisor/Team Lead,Sometimes
1078,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Maybe,Maybe,No,1,Sometimes,Often,24.0,non-binary,DevOps/SysAdmin,Sometimes
1079,0,100-500,1.0,No,unknown,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,No,Yes,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,44.0,male,Executive Leadership,Sometimes
1080,0,More than 1000,1.0,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,37.0,male,DevOps/SysAdmin,Sometimes
1081,0,6-25,0.0,No,unknown,No,No,I don't know,Somewhat difficult,Maybe,Yes,No,No,No,No,1,"No, none did",N/A (not currently aware),Some did,None did,No,None of them,"Yes, all of them",Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,Yes,No,Yes,Yes,0,Rarely,Often,22.0,male,Front-end Developer,Always
1082,0,26-100,1.0,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,31.0,female,Front-end Developer,Sometimes
1083,0,26-100,1.0,No,unknown,No,No,I don't know,I don't know,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",I don't know,No,Maybe,No,0,Not applicable to me,Never,36.0,female,Back-end Developer,Sometimes
1084,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did","Yes, I was aware of all of them",None did,None did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Often,Often,28.0,male,Back-end Developer,Always
1085,0,500-1000,0.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,No,No,1,I don't know,I was aware of some,"Yes, they all did","Yes, they all did","Yes, always",Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,25.0,female,Back-end Developer,Sometimes
1086,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Maybe,Maybe,No,1,Sometimes,Often,49.0,male,One-person shop,Always
1087,0,1-5,1.0,Not eligible for coverage / N/A,unknown,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,No,"No, I don't think it would","No, they do not",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,22.0,female,Other,Always
1088,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Rarely,Often,43.0,male,One-person shop,Sometimes
1089,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,33.0,male,Executive Leadership,Never
1090,0,500-1000,1.0,Yes,Yes,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,36.0,female,Other,Sometimes
1091,0,26-100,1.0,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,Yes,1,"No, none did","Yes, I was aware of all of them",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,26.0,female,Dev Evangelist/Advocate,Sometimes
1092,0,More than 1000,0.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,43.0,male,Other,Sometimes
